"Timestamp","1) If you are below the age of 18, do you have parental consent to participating in this survey? ","2) What's your current level of study? ","What part of New York do you reside in? ","Please state your gender.","Please choose the ethnicity that most appropriately describes you.","How often do you use technology for fun? ","Has your use of technology for fun increased or decreased due to COVID? ","How do you spend time on the internet for fun? ","Why do you use social media? ","Do you ever feel any, or more of the following: ","What do you turn to when you experience the issues stated in the previous question? ","Do you agree with any of the following negative effects of technology? ","Do you agree with any of the following positive effects of technology?","How long do you use technology for academic purposes every day?","How productive would you rate yourself?","Has your productivity increased or decreased due to COVID?","How do you use the internet for academic purposes?","How do your parents feel about the change in your use of technology for academic purposes from pre-Covid to present? ","How often do you use technology to check the news?","Where do you get your news from?","What fake news/inaccurate resources have you been exposed to on the internet during the pandemic?","What are a few online services or examples that you trust/use to obtain covid information from?"
"2021/06/11 10:27:33 AM AST","Yes","11th grade","Manhattan","Female","Black or African American","About 4-8 hours a day","Decreased","Social Medias (Instagram, Facebook, Twitter, TikTok, etc.);Streaming Services (YouTube, Netflix, Hulu, TikTok, etc.);Messaging Services (iMessage, WhatsApp, Messenger, etc.);Reading Services (iBook, Kindle, Wattpad, etc.)","To converse with my friends and family;To get updates on the lives of my friends and family;To be updated on current events and world issues;For academic purposes","I feel stressed;I feel lonely;I'm worried about getting COVID;I am worried about my family/ friends/ overseas family;I am worried about school;I am worried I don't get enough movement;I'm often sleepy/tired during the daytime;I'm worried about what I consume;I'm constantly unmotivated or feeling down","Social Media;Texting My Friends;Listening to music;Watching TV;Homework/ School;Clubs/ Extracurricular Activites;Reading","Bullying/rumor spread;harms relationships/ lack of in-person contact;unrealistic views;causes distractions/addictions;peer pressure;causes mental health issues;Spread of fake news/ misinformation","connecting with friends/family;easier to find news/info;Meeting others with same interests;Keeps you entertained/upbe;self-expression;getting support from others;learning new things","However long the school day is and how ever long it takes to complete my homework ","6","Decrease","Online Classes/ Attending tutoring sessions/ review sessions;General school assignments;Youtube Videos;Wikipedia","They feel I use technology more than I should/ more than I did before","About every day","Social Medias","I saw a post of some stating Israel was “protecting” itself from Palestine and last I checked killing innocent families including children as young as 1 year olds and taking peoples homes away is not a way of protecting oneself. #freePalestine","Instagram (depending on the person who posted and the post itself). "
"2021/06/11 10:28:20 AM AST","Yes","11th grade","Bronx","Male","South-East Asian (India, Bangladesh, etc.)","About 4-8 hours a day","Increased","Social Medias (Instagram, Facebook, Twitter, TikTok, etc.);Streaming Services (YouTube, Netflix, Hulu, TikTok, etc.);Messaging Services (iMessage, WhatsApp, Messenger, etc.);Gaming Services (video games, Ps4, Xbox, etc.)","To make new friends;To be updated on current events and world issues","I feel stressed;I'm worried about getting COVID;I am worried about school","Workout/ exercise","Bullying/rumor spread;peer pressure;Spread of fake news/ misinformation","connecting with friends/family;easier to find news/info;getting support from others","3-9 hours","7","Stayed the same","Online Classes/ Attending tutoring sessions/ review sessions;General school assignments;Youtube Videos","Neutral","Once a week","From friends and family","In Twitter, a tweet was posted that a vaccine is 99% safe, but didn’t mention the side effects.","CDC"
"2021/06/11 10:28:20 AM AST","Yes","12th grade","Bronx","Female","Black or African American","About 4-8 hours a day","About the same","Social Medias (Instagram, Facebook, Twitter, TikTok, etc.);Streaming Services (YouTube, Netflix, Hulu, TikTok, etc.);Messaging Services (iMessage, WhatsApp, Messenger, etc.)","To converse with my friends and family;To get updates on the lives of my friends and family;To get the latest news on celebrities;To be updated on current events and world issues","I feel stressed;I am worried about my family/ friends/ overseas family;I am worried about school;I'm often sleepy/tired during the daytime;I'm worried about what I consume;I'm constantly unmotivated or feeling down","Social Media;Texting My Friends;Listening to music;Watching TV","harms relationships/ lack of in-person contact;unrealistic views;Spread of fake news/ misinformation","Keeps you entertained/upbe;self-expression;learning new things","1-2 hours","5","Decrease","Online Classes/ Attending tutoring sessions/ review sessions;General school assignments;Youtube Videos","Neutral","About every day","Social Medias","People are saying that the vaccine is causing miscarriages with women who aren’t even vaccinated.","I use Twitter, because the accounts that post are usually news sources."
"2021/06/11 10:28:35 AM AST","I am 18+","12th grade","Manhattan","Female","Other Asian or pacific islander (Chinese, Korean, Filipino, etc.)","About 4-8 hours a day","Increased","Streaming Services (YouTube, Netflix, Hulu, TikTok, etc.);Messaging Services (iMessage, WhatsApp, Messenger, etc.);Gaming Services (video games, Ps4, Xbox, etc.)","To converse with my friends and family","I feel lonely;I'm worried about getting COVID;I am worried about school;I am worried I don't get enough movement;I'm often sleepy/tired during the daytime","Texting My Friends;Watching TV;Workout/ exercise","unrealistic views;causes distractions/addictions;peer pressure","connecting with friends/family;easier to find news/info;Meeting others with same interests","1-2 hours","10","Decrease","Online Classes/ Attending tutoring sessions/ review sessions;General school assignments","Neutral","Never","I don't check the news","I don't check the news.","I don't check the news."
"2021/06/11 10:29:31 AM AST","Yes","11th grade","Queens","Female","European","About 4-8 hours a day","Increased","Social Medias (Instagram, Facebook, Twitter, TikTok, etc.);Streaming Services (YouTube, Netflix, Hulu, TikTok, etc.);Messaging Services (iMessage, WhatsApp, Messenger, etc.);Reading Services (iBook, Kindle, Wattpad, etc.)","To converse with my friends and family;To be updated on current events and world issues;For academic purposes","I feel stressed;I am worried about school;I am worried I don't get enough movement;I'm constantly unmotivated or feeling down","Social Media;Reading","Bullying/rumor spread;unrealistic views;causes distractions/addictions","connecting with friends/family;easier to find news/info;Keeps you entertained/upbe","3-9 hours","7","Decrease","Online Classes/ Attending tutoring sessions/ review sessions;General school assignments;News Articles","Neutral","About every day","News Channels","-","ABC 7"
"2021/06/11 10:29:37 AM AST","Yes","11th grade","Manhattan","Male","White American;Hispanic or Latino","About 4-8 hours a day","Increased","Social Medias (Instagram, Facebook, Twitter, TikTok, etc.);Streaming Services (YouTube, Netflix, Hulu, TikTok, etc.);Messaging Services (iMessage, WhatsApp, Messenger, etc.);Gaming Services (video games, Ps4, Xbox, etc.)","To converse with my friends and family;To make new friends;To get updates on the lives of my friends and family;To comment on other people's lives","I feel stressed;I feel lonely","Social Media","Bullying/rumor spread;peer pressure","self-expression","10-12 hours","7","Decrease","Online Classes/ Attending tutoring sessions/ review sessions;Youtube Videos","They feel I use technology more than I should/ more than I did before","About every day","Social Medias","instagram ","nbc app"
"2021/06/11 10:30:00 AM AST","No","8th grade","Queens","Male","Other Asian or pacific islander (Chinese, Korean, Filipino, etc.)","About 1-3 hours a day","Increased","Streaming Services (YouTube, Netflix, Hulu, TikTok, etc.)","To get the latest news on celebrities;To be updated on current events and world issues","I don't feel any of these.;I am worried about my family/ friends/ overseas family;I am worried about school;I'm worried about what I consume;I'm constantly unmotivated or feeling down","Social Media;Talking to my parents;Watching TV;Homework/ School","Bullying/rumor spread;harms relationships/ lack of in-person contact;causes distractions/addictions","connecting with friends/family;easier to find news/info;Keeps you entertained/upbe","1-2 hours","8","Increase","Online Classes/ Attending tutoring sessions/ review sessions;Youtube Videos","They feel I use technology more than I should/ more than I did before","About every day","Social Medias","From random websites ","You can use google or browsers like that"
"2021/06/11 10:30:20 AM AST","Yes","11th grade","Bronx","Male","South-East Asian (India, Bangladesh, etc.)","About 1-3 hours a day","Decreased","Social Medias (Instagram, Facebook, Twitter, TikTok, etc.);Streaming Services (YouTube, Netflix, Hulu, TikTok, etc.)","To converse with my friends and family;To be updated on current events and world issues","I feel stressed;I feel lonely;I am worried about school;I'm constantly unmotivated or feeling down","Texting My Friends;Listening to music;Watching TV","Bullying/rumor spread;Spread of fake news/ misinformation","connecting with friends/family;Keeps you entertained/upbe;learning new things","3-9 hours","5","Decrease","Online Classes/ Attending tutoring sessions/ review sessions;General school assignments","They feel I use technology more than I should/ more than I did before","Once a week","News Channels","I don't recall any moments where I'd been exposed to fake news","The CDC, New York Times, NPR"
"2021/06/11 10:30:29 AM AST","Yes","11th grade","Bronx","Female","South-East Asian (India, Bangladesh, etc.)","About 4-8 hours a day","Decreased","Streaming Services (YouTube, Netflix, Hulu, TikTok, etc.);Messaging Services (iMessage, WhatsApp, Messenger, etc.)","For academic purposes","I feel stressed;I am worried about school;I am worried I don't get enough movement;I'm often sleepy/tired during the daytime;I'm constantly unmotivated or feeling down","Texting My Friends;Listening to music;Watching TV;Clubs/ Extracurricular Activites;Workout/ exercise","unrealistic views;causes mental health issues;Spread of fake news/ misinformation","connecting with friends/family;easier to find news/info;self-expression","3-9 hours","7","Decrease","Online Classes/ Attending tutoring sessions/ review sessions;General school assignments;Youtube Videos;Documentaries;Reading Research Articles","They feel I use technology more than I should/ more than I did before","Once a week","Newspapers (online or paper)","I have not been exposed to “fake news” as much since I generally pick credible internet sources to get my news.","The New York Times Newsletter, Johns Hopkins Coronavirus Tracking website."
"2021/06/11 10:31:36 AM AST","Yes","11th grade","Bronx","Male","Hispanic or Latino","About 4-8 hours a day","Increased","Streaming Services (YouTube, Netflix, Hulu, TikTok, etc.);Messaging Services (iMessage, WhatsApp, Messenger, etc.);Gaming Services (video games, Ps4, Xbox, etc.)","Don’t use social media ","I'm often sleepy/tired during the daytime","Listening to music;Watching TV;Workout/ exercise;Sleep","causes distractions/addictions;peer pressure;causes mental health issues","connecting with friends/family;Keeps you entertained/upbe;learning new things","3-9 hours","8","Increase","Online Classes/ Attending tutoring sessions/ review sessions;General school assignments;Youtube Videos","Neutral","Once a week","I don't check the news","Don’t check the news as the example given is a clear example why I don’t. It’s all political and bias. ","Not fauci or the cdc that’s for sure. Always mixing up information and contradicting themselves. "
